course_id,course_code,course_name,degree,year,semester,credits,subject_area,course_type
1,CS1101,Fundamentals of Programming,Computer Science,1,1,2,Programming,Core
2,CS1102,Programming Laboratory,Computer Science,1,1,1,Programming,Core
3,CS1103,Foundation of Computer Science,Computer Science,1,1,2,Other,Core
4,CS1104,Fundamentals of Databases,Computer Science,1,1,2,Database,Core
5,CS1105,Software Development Methodologies,Computer Science,1,1,2,Software Engineering,Core
6,CS1106,Computer Systems Architecture,Computer Science,1,1,3,Systems & Operating Systems,Core
7,CS1107,Probability and Statistics,Computer Science,1,1,3,Statistics,Core
8,CS1108,Mathematics for Computing,Computer Science,1,1,2,Mathematics,Core
9,CS1109,Collaborative Hardware Project,Computer Science,1,1,1,Systems & Operating Systems,Core
10,CS1110,English: Basic Study Skills for CS/SE/CE,Computer Science,1,1,2,Other,NGPA
11,CS1111,Leadership Training,Computer Science,1,1,2,Other,NGPA
12,CS1201,Web Development,Computer Science,1,2,2,Other,Core
13,CS1202,Object Oriented Programming,Computer Science,1,2,3,Programming,Core
14,CS1203,Computer Networks,Computer Science,1,2,3,Networking,Core
15,CS1204,Creative Media Tools,Computer Science,1,2,1,Other,Core
16,CS1205,Software Analysis and Modeling,Computer Science,1,2,2,Software Engineering,Core
17,CS1206,Discrete Mathematics,Computer Science,1,2,2,Mathematics,Core
18,CS1207,Fundamentals of Electronics,Computer Science,1,2,1,Systems & Operating Systems,Core
19,CS1208,Collaborative Hardware Project,Computer Science,1,2,1,Systems & Operating Systems,Core
20,CS1209,English: Advance Study Skills for CS/SE/CE,Computer Science,1,2,2,Other,NGPA
21,CS2101,Operating Systems,Computer Science,2,1,2,Systems & Operating Systems,Core
22,CS2102,Data Structures and Algorithms,Computer Science,2,1,2,Algorithms & Data Structures,Core
23,CS2103,Advanced Object Oriented Programming,Computer Science,2,1,2,Programming,Core
24,CS2104,Advanced Computer Networks and Wireless Communication,Computer Science,2,1,2,Networking,Core
25,CS2105,Advanced Web Development,Computer Science,2,1,2,Other,Core
26,CS2106,Group Project in Software Development,Computer Science,2,1,1,Software Engineering,Core
27,CS2107,Requirements Engineering,Computer Science,2,1,2,Software Engineering,Core
28,CS2108,Statistical Distributions and Inference,Computer Science,2,1,2,Statistics,Core
29,CS2109,Calculus,Computer Science,2,1,2,Mathematics,Core
30,CS2110,Principles of Management,Computer Science,2,1,2,Other,NGPA
31,CS2111,Writing and Speaking Skills,Computer Science,2,1,2,Other,NGPA
32,CS2201,Advanced Data Structures and Algorithms,Computer Science,2,2,2,Algorithms & Data Structures,Core
33,CS2202,Artificial Intelligence,Computer Science,2,2,3,Artificial Intelligence,Core
34,CS2203,Group Project in Software Development,Computer Science,2,2,2,Software Engineering,Core
35,CS2204,Software Project Management,Computer Science,2,2,3,Software Engineering,Core
36,CS2205,Software Architecture,Computer Science,2,2,2,Software Engineering,Core
37,CS2206,Computer Interfacing and Microprocessors,Computer Science,2,2,2,Systems & Operating Systems,Core
38,CS2207,Numerical Methods,Computer Science,2,2,2,Mathematics,Core
39,CS2208,Research Writing Skills,Computer Science,2,2,2,Other,NGPA
40,CS3101,Essentials of Computer Law,Computer Science,3,1,2,Other,NGPA
41,CS3102,Research Methodology,Computer Science,3,1,2,Other,Core
42,CS3103,Mobile Computing,Computer Science,3,1,2,Other,Core
43,CS3104,Computer and Network Security,Computer Science,3,1,2,Cyber Security,Core
44,CS3105,Bioinformatics,Computer Science,3,1,2,Other,Elective
45,CS3106,UX and UI Engineering,Computer Science,3,1,2,Software Engineering,Core
46,CS3107,Advanced Database Techniques,Computer Science,3,1,2,Database,Core
47,CS3108,Distributed Computing,Computer Science,3,1,2,Cloud Computing,Core
48,CS3109,Digital Image Processing,Computer Science,3,1,2,Artificial Intelligence,Core
49,CS3110,Expert Systems and Logic Programming,Computer Science,3,1,2,Artificial Intelligence,Core
50,CS3111,Cloud Computing,Computer Science,3,1,2,Cloud Computing,Elective
51,CS3112,Data Mining and Business Intelligence,Computer Science,3,1,2,Data Analysis,Elective
52,CS3113,Big Data Analytics,Computer Science,3,1,2,Data Analysis,Elective
53,CS3114,Enterprise System Administration,Computer Science,3,1,2,Systems & Operating Systems,Elective
54,CS3201,Computer Graphics and Visualization,Computer Science,3,2,2,Other,Core
55,CS3202,Automata Theory,Computer Science,3,2,2,Algorithms & Data Structures,Core
56,CS3203,Complex Systems and Agent Technology,Computer Science,3,2,2,Artificial Intelligence,Core
57,CS3204,Information Security,Computer Science,3,2,2,Cyber Security,Core
58,CS3205,Modeling and Simulation,Computer Science,3,2,2,Mathematics,Elective
59,CS3206,Nature Inspired Computing,Computer Science,3,2,2,Artificial Intelligence,Elective
60,CS3207,Internet of Things,Computer Science,3,2,2,Systems & Operating Systems,Elective
61,CS3208,Natural Language Processing,Computer Science,3,2,2,Artificial Intelligence,Core
62,CS3209,Machine Learning,Computer Science,3,2,2,Artificial Intelligence,Core
63,CS3210,Distributed Systems,Computer Science,3,2,2,Cloud Computing,Elective
64,CS3211,Advanced Mobile Computing,Computer Science,3,2,2,Other,Elective
