prerequisite_id,course_id,prerequisite_course_id
1,13,1
2,16,5
3,17,8
4,18,6
5,19,9
6,21,6
7,22,13
8,23,13
9,24,14
10,25,12
11,26,16
12,27,16
13,28,7
14,29,8
15,32,22
16,33,22
17,33,7
18,34,26
19,35,27
20,36,27
21,37,21
22,38,29
23,42,23
24,43,24
25,45,25
26,46,4
27,47,21
28,47,24
29,48,8
30,49,33
31,50,47
32,51,4
33,51,7
34,52,4
35,53,21
36,54,29
37,55,17
38,56,33
39,57,43
40,58,29
41,58,28
42,59,33
43,60,37
44,61,33
45,62,33
46,62,28
47,63,47
48,64,42
49,65,41
50,66,28
51,67,7
52,68,37
53,71,55
54,72,33
55,73,55
56,74,4
57,76,47
58,78,57
59,79,57
60,80,62
61,82,54
62,83,65
63,84,36
64,85,36
65,86,21
66,87,37
67,89,83
68,101,98
69,102,91
70,105,98
71,106,94
72,110,102
73,111,94
74,112,102
75,113,104
76,115,108
77,116,98
78,119,110
79,120,94
80,121,110
81,122,114
82,123,114
83,124,97
84,125,111
85,126,112
86,126,114
87,129,114
88,130,112
89,131,129
90,132,103
91,134,95
92,135,113
93,136,98
94,138,121
95,139,112
96,141,131
97,142,123
98,144,137
99,145,135
100,146,116
101,147,105
102,148,135
103,149,111
104,150,121
105,151,141
106,152,142
107,153,141
108,155,147
109,156,121
110,157,121
111,158,147
112,159,95
113,160,113
114,161,124
115,162,144
116,163,162
117,173,167
118,174,167
119,175,166
120,176,168
121,177,166
122,180,167
123,181,174
124,182,175
125,183,176
126,184,176
127,187,182
128,188,184
129,189,170
130,190,176
131,191,185
132,192,165
133,194,170
134,195,188
135,195,181
136,196,182
137,199,175
138,201,181
139,202,184
140,203,189
141,204,182
142,205,202
143,207,197
144,208,197
145,209,195
146,211,181
147,212,194
148,214,195
149,215,170
150,216,182
151,218,197
152,219,208
153,220,192
154,221,198
155,222,221
156,233,225
157,234,225
158,236,227
159,237,227
160,240,229
161,242,234
162,243,233
163,244,239
164,245,235
165,246,238
166,247,234
167,248,229
168,251,234
169,252,243
170,253,236
171,256,247
172,257,240
173,259,239
174,260,242
175,261,228
176,262,234
177,263,246
178,264,246
179,267,251
180,268,246
181,269,252
182,270,264
183,271,246
184,272,235
185,273,255
186,274,267
187,278,245
188,279,240
189,280,263
190,281,245
191,282,271
192,283,235
193,284,229
194,287,264
195,289,274
196,290,273
197,291,290
198,302,294
199,303,294
200,305,296
201,306,296
202,309,298
203,311,303
204,312,302
205,313,308
206,314,304
207,315,307
208,316,303
209,317,298
210,320,303
211,321,312
212,322,305
213,325,316
214,326,309
215,328,308
216,329,304
217,332,315
218,334,303
219,335,320
220,337,308
221,338,299
222,339,329
223,340,309
224,341,321
225,342,329
226,343,324
227,347,329
228,348,309
229,349,332
230,350,342
231,352,329
232,356,332
233,358,335
234,359,343
235,360,359
236,373,372
237,376,364
238,379,369
239,382,375
240,383,376
241,384,362
242,385,376
243,386,376
244,387,367
245,388,369
246,389,368
247,393,362
248,394,384
249,395,385
250,396,383
251,397,383
252,398,388
253,400,394
254,401,394
255,403,388
256,404,382
257,405,378
258,408,384
259,409,377
260,410,366
261,411,369
262,412,396
263,413,378
264,414,366
265,415,393
266,416,382
267,417,402
268,418,375
269,419,405
270,420,389
271,421,400
272,422,378
273,423,396
274,424,396
275,425,396
276,426,386
277,427,396
278,428,416
279,429,384
280,430,418
281,431,393
282,432,421
283,433,424
284,434,400
285,435,427
286,436,423
287,438,396
288,439,387
289,440,417
290,443,440
