student_id,course_id,course_code,course_name,degree,year,semester,credits,subject_area,mark,grade,grade_point,status,archetype
1,51,CS1101,Intro to Computer Science,Computer Science,1,1,4,Programming,91.2,A+,4.0,completed,software_engineering
1,52,CS1102,Calculus I,Computer Science,1,1,3,Mathematics,70.6,B,3.0,completed,software_engineering
1,54,CS1104,Academic Skills for CS,Computer Science,1,1,3,Other,67.4,B-,2.7,completed,software_engineering
1,55,CS1201,Programming Paradigms,Computer Science,1,2,4,Programming,87.1,A,4.0,completed,software_engineering
1,56,CS1202,Calculus II,Computer Science,1,2,3,Mathematics,65.7,B-,2.7,completed,software_engineering
1,57,CS1203,Introduction to Databases,Computer Science,1,2,4,Database,71.8,B,3.0,completed,software_engineering
1,58,CS1204,Networking Basics,Computer Science,1,2,3,Networking,95.6,A+,4.0,completed,software_engineering
2,51,CS1101,Intro to Computer Science,Computer Science,1,1,4,Programming,92.5,A+,4.0,completed,cyber_security
2,52,CS1102,Calculus I,Computer Science,1,1,3,Mathematics,53.6,C-,1.7,completed,cyber_security
2,53,CS1103,Computer Organization,Computer Science,1,1,3,Systems & Operating Systems,87.1,A,4.0,completed,cyber_security
2,55,CS1201,Programming Paradigms,Computer Science,1,2,4,Programming,91.8,A+,4.0,completed,cyber_security
2,56,CS1202,Calculus II,Computer Science,1,2,3,Mathematics,79.8,A-,3.7,completed,cyber_security
2,57,CS1203,Introduction to Databases,Computer Science,1,2,4,Database,47.5,D,1.0,completed,cyber_security
2,58,CS1204,Networking Basics,Computer Science,1,2,3,Networking,62.5,C+,2.3,completed,cyber_security
2,59,CS2101,Data Structures,Computer Science,2,1,4,Algorithms & Data Structures,80.8,A-,3.7,completed,cyber_security
2,60,CS2102,Probability and Statistics,Computer Science,2,1,3,Statistics,72.3,B,3.0,completed,cyber_security
2,61,CS2103,Operating Systems Concepts,Computer Science,2,1,3,Systems & Operating Systems,93.4,A+,4.0,completed,cyber_security
2,62,CS2104,Software Engineering I,Computer Science,2,1,3,Software Engineering,45.8,D,1.0,completed,cyber_security
2,63,CS2201,Algorithm Design,Computer Science,2,2,4,Algorithms & Data Structures,68.4,B-,2.7,completed,cyber_security
2,64,CS2202,Advanced Databases,Computer Science,2,2,4,Database,58.6,C,2.0,completed,cyber_security
2,65,CS2203,Data Communications,Computer Science,2,2,3,Networking,75.2,B+,3.3,completed,cyber_security
2,66,CS2204,Statistical Computing,Computer Science,2,2,3,Statistics,47.4,D,1.0,completed,cyber_security
3,51,CS1101,Intro to Computer Science,Computer Science,1,1,4,Programming,62.6,C+,2.3,completed,cyber_security
3,52,CS1102,Calculus I,Computer Science,1,1,3,Mathematics,46.0,D,1.0,completed,cyber_security
3,53,CS1103,Computer Organization,Computer Science,1,1,3,Systems & Operating Systems,92.8,A+,4.0,completed,cyber_security
3,54,CS1104,Academic Skills for CS,Computer Science,1,1,3,Other,65.5,B-,2.7,completed,cyber_security
3,55,CS1201,Programming Paradigms,Computer Science,1,2,4,Programming,90.1,A+,4.0,completed,cyber_security
3,56,CS1202,Calculus II,Computer Science,1,2,3,Mathematics,64.5,C+,2.3,completed,cyber_security
3,57,CS1203,Introduction to Databases,Computer Science,1,2,4,Database,60.2,C+,2.3,completed,cyber_security
3,58,CS1204,Networking Basics,Computer Science,1,2,3,Networking,87.6,A,4.0,completed,cyber_security
3,59,CS2101,Data Structures,Computer Science,2,1,4,Algorithms & Data Structures,61.1,C+,2.3,completed,cyber_security
3,60,CS2102,Probability and Statistics,Computer Science,2,1,3,Statistics,62.1,C+,2.3,completed,cyber_security
3,61,CS2103,Operating Systems Concepts,Computer Science,2,1,3,Systems & Operating Systems,71.6,B,3.0,completed,cyber_security
3,62,CS2104,Software Engineering I,Computer Science,2,1,3,Software Engineering,44.3,D,1.0,completed,cyber_security
4,35,SE1101,Programming Fundamentals,Software Engineering,1,1,4,Programming,36.6,F,0.0,completed,struggling
4,36,SE1102,Discrete Mathematics,Software Engineering,1,1,3,Mathematics,36.2,F,0.0,completed,struggling
4,37,SE1103,Digital Logic and Systems,Software Engineering,1,1,3,Systems & Operating Systems,20.0,F,0.0,failed,struggling
4,39,SE1201,Advanced OOP,Software Engineering,1,2,4,Programming,45.6,D,1.0,completed,struggling
4,40,SE1202,Linear Algebra,Software Engineering,1,2,3,Mathematics,42.2,D,1.0,completed,struggling
4,41,SE1203,Database Design,Software Engineering,1,2,4,Database,49.3,D,1.0,completed,struggling
4,42,SE1204,Network Essentials,Software Engineering,1,2,3,Networking,39.3,F,0.0,completed,struggling
4,43,SE2101,Algorithms and Complexity,Software Engineering,2,1,4,Algorithms & Data Structures,56.7,C,2.0,completed,struggling
4,44,SE2102,Statistics for Engineers,Software Engineering,2,1,3,Statistics,43.9,D,1.0,completed,struggling
